server:
vishal-kumar@vishal-kumar-Inspiron-15-3525:~/Desktop/PQC_codes/Day wise work/27 june/adaptive_benchmarking$ QC_DISABLE_RATE_LIMIT=1 ./server
[11:31:24.651] High-Performance Asynchronous io_uring PQC Server
  Protocol : ML-KEM-768 + ML-DSA-65 + ChaCha20-Poly1305
  Address  : 0.0.0.0:9877  |  Max clients: 4096

  DSA keygen : 4.892 ms (long-term identity)
  Rate limiting: ENABLED (50 pkts/s, burst 20)
  Crypto workers: 3 threads spawned (pinned to Cores 1-3)
  IPC RX : /tmp/pqc_rx.sock
  IPC TX : /tmp/pqc_tx.sock

╔══════════════════════════════════════════╗
║  PQC Server — Multi-Client Mode          ║
║  Run: ./server_rx  (receiver terminal)   ║
║  Run: ./server_tx  (sender terminal)     ║
╚══════════════════════════════════════════╝

[11:31:27.460] ✓ CLIENT-46  10.59.57.252:53266  SID=32834551328d32e6  HS=1.577ms  Active=46

[11:31:27.460] ✓ CLIENT-47  10.59.57.252:37714  SID=dd98017abc522cdc  HS=1.591ms  Active=47

[11:31:27.460] ✓ CLIENT-48  10.59.57.252:44307  SID=89aa623109446f2e  HS=1.598ms  Active=48

[11:31:27.469] ✓ CLIENT-49  10.59.57.252:39098  SID=6b6e8fb8f991d432  HS=0.415ms  Active=49

[11:31:27.489] ✓ CLIENT-50  10.59.57.252:53884  SID=0951c612caa53949  HS=3.391ms  Active=50

[11:31:27.543] ✓ CLIENT-51  10.59.57.252:55309  SID=e5eb66957332dc40  HS=0.219ms  Active=51

[11:31:27.544] ✓ CLIENT-52  10.59.57.252:58534  SID=42dfd58d1b03876d  HS=0.463ms  Active=52

[11:31:27.552] ✓ CLIENT-53  10.59.57.252:46727  SID=7489ed45961abf09  HS=0.554ms  Active=53

[11:31:27.552] ✓ CLIENT-54  10.59.57.252:46647  SID=42e74e84e2e31b97  HS=0.648ms  Active=54

[11:31:27.676] ✓ CLIENT-55  10.59.57.252:44210  SID=fbccd4453673db77  HS=0.351ms  Active=55

[11:31:27.676] ✓ CLIENT-56  10.59.57.252:39042  SID=c0049efc3123378c  HS=0.386ms  Active=56

[11:31:27.676] ✓ CLIENT-57  10.59.57.252:40346  SID=3154caff17fbc432  HS=0.390ms  Active=57

[11:31:27.680] ✓ CLIENT-58  10.59.57.252:33759  SID=3fa99c810735a77d  HS=0.317ms  Active=58

[11:31:27.681] ✓ CLIENT-59  10.59.57.252:59791  SID=a387ff6f824380c4  HS=0.342ms  Active=59

[11:31:27.681] ✓ CLIENT-60  10.59.57.252:36697  SID=eeef0463fcffc934  HS=0.361ms  Active=60

[11:31:27.682] ✓ CLIENT-61  10.59.57.252:45348  SID=b8e7e497b705dc83  HS=0.359ms  Active=61

[11:31:27.683] ✓ CLIENT-62  10.59.57.252:48662  SID=5603e37e88ce8d61  HS=0.396ms  Active=62

[11:31:27.683] ✓ CLIENT-63  10.59.57.252:33584  SID=39de80814bb0096b  HS=0.398ms  Active=63

[11:31:27.686] ✓ CLIENT-64  10.59.57.252:39933  SID=01b643e1e6d3ea5c  HS=0.690ms  Active=64

[11:31:27.686] ✓ CLIENT-65  10.59.57.252:36113  SID=873ab19488fc1c81  HS=0.265ms  Active=65

[11:31:27.722] ✓ CLIENT-66  10.59.57.252:43469  SID=fb7988c12bdd6bd6  HS=0.327ms  Active=66

[11:31:28.006] ✓ CLIENT-67  10.59.57.252:58028  SID=3bef6b8c41dbbdb4  HS=0.401ms  Active=67

[11:31:28.013] ✓ CLIENT-68  10.59.57.252:41034  SID=7db46c5c5627ad18  HS=0.344ms  Active=68

[11:31:28.013] ✓ CLIENT-69  10.59.57.252:35301  SID=a9e630cdd40b9d3e  HS=0.574ms  Active=69

[11:31:28.014] ✓ CLIENT-70  10.59.57.252:37175  SID=716961d64f82ad45  HS=0.526ms  Active=70

[11:31:28.018] ✓ CLIENT-71  10.59.57.252:48809  SID=5f92a7cb90afd82c  HS=0.647ms  Active=71

[11:31:28.023] ✓ CLIENT-72  10.59.57.252:52287  SID=dc1753e4ae69ff41  HS=5.025ms  Active=72

[11:31:28.023] ✓ CLIENT-73  10.59.57.252:40142  SID=06383c7beb8e519a  HS=0.325ms  Active=73

[11:31:28.023] ✓ CLIENT-74  10.59.57.252:57467  SID=970867c3801779fe  HS=0.523ms  Active=74

[11:31:28.023] ✓ CLIENT-75  10.59.57.252:47652  SID=c497a2892f9fe91e  HS=0.456ms  Active=75

[11:31:28.024] ✓ CLIENT-76  10.59.57.252:55880  SID=70a931536f42ebca  HS=0.529ms  Active=76

[11:31:28.024] ✓ CLIENT-77  10.59.57.252:36032  SID=f9cac31f379f3a1f  HS=0.663ms  Active=77

[11:31:28.024] ✓ CLIENT-78  10.59.57.252:44989  SID=2d9d067acdef510c  HS=0.685ms  Active=78

[11:31:28.027] ✓ CLIENT-79  10.59.57.252:39627  SID=ad4fdfcd233e7f21  HS=0.421ms  Active=79

[11:31:28.036] ✓ CLIENT-80  10.59.57.252:39418  SID=54b7c68424ae4a93  HS=0.405ms  Active=80

[11:31:28.036] ✓ CLIENT-81  10.59.57.252:51901  SID=b390d2d4a88f9b52  HS=0.635ms  Active=81

[11:31:28.311] ✓ CLIENT-82  10.59.57.252:45365  SID=2fa5c26370931a36  HS=0.645ms  Active=82

[11:31:28.366] ✓ CLIENT-83  10.59.57.252:60703  SID=298c6080750519d0  HS=0.582ms  Active=83

[11:31:28.366] ✓ CLIENT-84  10.59.57.252:36839  SID=c5612bd6fde936ed  HS=0.679ms  Active=84

[11:31:28.366] ✓ CLIENT-85  10.59.57.252:46417  SID=5393cd5199683ce2  HS=0.702ms  Active=85

[11:31:28.366] ✓ CLIENT-86  10.59.57.252:42598  SID=1041f0ea45e38ef3  HS=0.691ms  Active=86

[11:31:28.366] ✓ CLIENT-87  10.59.57.252:37268  SID=2dc181fd26d4468d  HS=0.707ms  Active=87

[11:31:28.366] ✓ CLIENT-88  10.59.57.252:41289  SID=ccc4f6210b8ed40c  HS=0.725ms  Active=88

[11:31:28.366] ✓ CLIENT-89  10.59.57.252:56631  SID=6123894470d67dfb  HS=0.736ms  Active=89

[11:31:28.366] ✓ CLIENT-90  10.59.57.252:35486  SID=d3ba95428b3243bf  HS=0.827ms  Active=90

[11:31:28.369] ✓ CLIENT-91  10.59.57.252:36696  SID=17189204a51f3151  HS=0.325ms  Active=91

[11:31:28.374] ✓ CLIENT-92  10.59.57.252:40519  SID=e83e81afe7b039fc  HS=0.407ms  Active=92

[11:31:28.374] ✓ CLIENT-93  10.59.57.252:37335  SID=783c79251a879412  HS=0.505ms  Active=93

[11:31:28.374] ✓ CLIENT-94  10.59.57.252:60401  SID=3978cd8f2451043f  HS=0.516ms  Active=94

[11:31:28.374] ✓ CLIENT-95  10.59.57.252:51518  SID=3f1b3b3435579a18  HS=0.551ms  Active=95

[11:31:28.386] ✓ CLIENT-96  10.59.57.252:48227  SID=32b55a81fb2264c5  HS=0.635ms  Active=96

[11:31:28.387] ✓ CLIENT-97  10.59.57.252:34579  SID=a5e3f46ad87f60cc  HS=0.341ms  Active=97

[11:31:28.567] ✓ CLIENT-98  10.59.57.252:56807  SID=43678ad59369cf81  HS=0.476ms  Active=98

[11:31:28.568] ✓ CLIENT-99  10.59.57.252:34653  SID=ce0fb91d13d10d03  HS=0.548ms  Active=99

[11:31:28.568] ✓ CLIENT-100  10.59.57.252:56802  SID=fa2aa8322b81760b  HS=0.615ms  Active=100

^C
=========================================================================
                  PQC SERVER BENCHMARK REPORT                            
=========================================================================

┌─────────────────────────────────────────────────────────────────────────┐
│ TABLE 12 — Queuing & Processing Latency Breakdown (200    samples)       │
├──────────────────────┬─────────────────────────┬────────────────────────┤
│ Metric               │ Queue Wait Time (µs)    │ Crypto Processing (µs) │
├──────────────────────┼─────────────────────────┼────────────────────────┤
│ Mean                 │                 410.939 │                376.162 │
│ Median               │                 196.847 │                310.370 │
│ Minimum              │                  15.199 │                 72.142 │
│ Maximum              │                3078.441 │               1318.760 │
│ 95th Percentile      │                1507.844 │                899.147 │
│ 99th Percentile      │                2126.776 │               1299.888 │
│ Standard Deviation   │                 523.403 │                244.792 │
└──────────────────────┴─────────────────────────┴────────────────────────┘

┌─────────────────────────────────────────────────────────────────────────┐
│ TABLE 13 — Worker Thread Core Utilization                               │
├──────────────────────┬─────────────────┬─────────────────┬──────────────┤
│ Worker Thread        │ Busy Time (ms)  │ Total Time (ms) │ Util (%)     │
├──────────────────────┼─────────────────┼─────────────────┼──────────────┤
│ Worker 1 (Core 1)    │          25.546 │        6289.985 │        0.41% │
│ Worker 2 (Core 2)    │          24.834 │        6289.985 │        0.39% │
│ Worker 3 (Core 3)    │          24.853 │        6289.985 │        0.40% │
└──────────────────────┴─────────────────┴─────────────────┴──────────────┘

┌─────────────────────────────────────────────────────────────────────────┐
│ TABLE 14 — Server CPU Temperature Profile                               │
├─────────────────────────────────────────┬───────────────────────────────┤
│ Metric                                  │ Value                         │
├─────────────────────────────────────────┼───────────────────────────────┤
│ Average Temperature                     │                      54.3 °C                     │
│ Peak Temperature                        │                      55.0 °C                     │
└─────────────────────────────────────────┴───────────────────────────────┘

┌─────────────────────────────────────────────────────────────────────────┐
│ TABLE 19 — Server CPU & Memory Utilization                              │
├─────────────────────────────────────────┬───────────────────────────────┤
│ Metric                                  │ Value                         │
├─────────────────────────────────────────┼───────────────────────────────┤
│ Server CPU Utilization                  │                        7.12%                    │
│ Server Peak RSS Memory                  │                   107.297 MB                   │
└─────────────────────────────────────────┴───────────────────────────────┘

┌─────────────────────────────────────────────────────────────────────────┐
│ TABLE 20 — Thread Core Mapping (Affinity)                               │
├─────────────────────────────────────────┬──────────────┬────────────────┤
│ Thread                                  │ Target Core  │ Role           │
├─────────────────────────────────────────┼──────────────┼────────────────┤
│ Main Event Thread                       │ Core 0       │ Network I/O    │
│ Worker Thread 1                         │ Core 1       │ Cryptography   │
│ Worker Thread 2                         │ Core 2       │ Cryptography   │
│ Worker Thread 3                         │ Core 3       │ Cryptography   │
└─────────────────────────────────────────┴──────────────┴────────────────┘


[server] Shutdown complete.
vishal-kumar@vishal-kumar-Inspiron-15-3525:~/Desktop/PQC_codes/Day wise work/27 june/adaptive_benchmarking$ 

Client:
pi@raspberrypi:~/Desktop/Vishal_/Bench_marking_PQC $ ./bench_nclient_arm 100 10.59.57.160

╔══════════════════════════════════════════════════════════════╗
║     N-Client Concurrent PQC Handshake Benchmark              ║
║  ML-KEM-768  +  ML-DSA-65  +  ChaCha20-Poly1305             ║
╚══════════════════════════════════════════════════════════════╝
  Clients    : 100
  Messages   : 5 per client 
  Server     : 10.59.57.160:9877
  Timer      : CLOCK_MONOTONIC (ns resolution)

  Spawning 100 client threads...
┌─ Per-Client Handshake & Secure Communication Metrics ────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Client ID  │  Status  │  Total HS (ms)  │  Msgs Sent  │  Msgs Recv  │  Min Msg RTT (ms)  │  Max Msg RTT (ms)  │  Avg Msg RTT (ms)  │
│  ───────────┼──────────┼─────────────────┼─────────────┼─────────────┼────────────────────┼────────────────────┼────────────────────│
│  0          │  Active  │          258.549  │            5  │            4  │               6.781  │              41.032  │              15.531  │
│  1          │  Active  │          258.194  │            5  │            4  │               6.910  │              41.151  │              15.562  │
│  2          │  Active  │          258.409  │            5  │            4  │               6.285  │              41.086  │              15.411  │
│  3          │  Active  │          258.102  │            5  │            4  │               6.782  │              41.078  │              15.548  │
│  4          │  Active  │          257.856  │            5  │            4  │               6.609  │              41.316  │              15.537  │
│  5          │  Active  │          257.593  │            5  │            4  │               6.773  │              41.274  │              15.569  │
│  6          │  Active  │          257.519  │            5  │            4  │               6.712  │              41.258  │              15.516  │
│  7          │  Active  │          258.351  │            5  │            4  │               6.547  │              40.785  │              15.281  │
│  8          │  Active  │          258.157  │            5  │            4  │               6.771  │              40.863  │              15.540  │
│  9          │  Active  │          257.962  │            5  │            4  │               6.910  │              41.044  │              15.604  │
│  10         │  Active  │          257.831  │            5  │            4  │               6.552  │              41.086  │              15.482  │
