server:
vishal-kumar@vishal-kumar-Inspiron-15-3525:~/Desktop/PQC_codes/Day wise work/27 june/adaptive_benchmarking$ QC_DISABLE_RATE_LIMIT=1 ./server
[11:30:24.054] High-Performance Asynchronous io_uring PQC Server
  Protocol : ML-KEM-768 + ML-DSA-65 + ChaCha20-Poly1305
  Address  : 0.0.0.0:9877  |  Max clients: 4096

  DSA keygen : 1.710 ms (long-term identity)
  Rate limiting: ENABLED (50 pkts/s, burst 20)
  Crypto workers: 3 threads spawned (pinned to Cores 1-3)
  IPC RX : /tmp/pqc_rx.sock
  IPC TX : /tmp/pqc_tx.sock

╔══════════════════════════════════════════╗
║  PQC Server — Multi-Client Mode          ║
║  Run: ./server_rx  (receiver terminal)   ║
║  Run: ./server_tx  (sender terminal)     ║
╚══════════════════════════════════════════╝

[11:30:28.776] ✓ CLIENT-46  10.59.57.221:36352  SID=509f87ff890112fb  HS=2.295ms  Active=46

[11:30:28.776] ✓ CLIENT-47  10.59.57.221:57708  SID=be6429c44d0d5188  HS=2.108ms  Active=47

[11:30:29.033] ✓ CLIENT-48  10.59.57.221:48326  SID=315822a6e465a69c  HS=0.714ms  Active=48

[11:30:29.036] ✓ CLIENT-49  10.59.57.221:50160  SID=ccab9aede9bf872a  HS=0.343ms  Active=49

[11:30:29.041] ✓ CLIENT-50  10.59.57.221:39072  SID=d9e11d8aceb1fe20  HS=0.346ms  Active=50

[11:30:29.045] ✓ CLIENT-51  10.59.57.221:34443  SID=54b91431b9b70204  HS=0.345ms  Active=51

[11:30:29.065] ✓ CLIENT-52  10.59.57.221:44208  SID=22499e02a1acbad0  HS=0.293ms  Active=52

[11:30:29.084] ✓ CLIENT-53  10.59.57.221:35030  SID=52702f2ad8434889  HS=0.347ms  Active=53

[11:30:29.128] ✓ CLIENT-54  10.59.57.221:36661  SID=edb5537fb0aa4b0e  HS=1.253ms  Active=54

[11:30:29.128] ✓ CLIENT-55  10.59.57.221:35710  SID=cf692898619ec96f  HS=1.279ms  Active=55

[11:30:29.309] ✓ CLIENT-56  10.59.57.221:45081  SID=2b14832cb9399701  HS=63.927ms  Active=56

[11:30:29.309] ✓ CLIENT-57  10.59.57.221:60250  SID=d384e3efefb04942  HS=64.023ms  Active=57

[11:30:29.399] ✓ CLIENT-58  10.59.57.221:58235  SID=e49f46060cc82eaa  HS=0.433ms  Active=58

[11:30:29.399] ✓ CLIENT-59  10.59.57.221:52968  SID=dfa261a21a6d5306  HS=0.475ms  Active=59

[11:30:29.399] ✓ CLIENT-60  10.59.57.221:43473  SID=59e5ff7a184ee11d  HS=0.481ms  Active=60

[11:30:29.400] ✓ CLIENT-61  10.59.57.221:53999  SID=06a60550a127fe07  HS=0.479ms  Active=61

[11:30:29.400] ✓ CLIENT-62  10.59.57.221:44290  SID=36ed6be7f4a9795d  HS=0.375ms  Active=62

[11:30:29.400] ✓ CLIENT-63  10.59.57.221:46800  SID=d00ed3106b60cdcf  HS=0.389ms  Active=63

[11:30:29.620] ✓ CLIENT-64  10.59.57.221:49183  SID=2ad12e95011d035e  HS=0.304ms  Active=64

[11:30:29.660] ✓ CLIENT-65  10.59.57.221:39096  SID=6657bdf8ba1d27f5  HS=0.339ms  Active=65

[11:30:29.708] ✓ CLIENT-66  10.59.57.221:44502  SID=2ec9b9ed0e11d97f  HS=0.328ms  Active=66

[11:30:29.716] ✓ CLIENT-67  10.59.57.221:52370  SID=3bb41854b611e2aa  HS=0.389ms  Active=67

[11:30:29.752] ✓ CLIENT-68  10.59.57.221:58256  SID=590f693c9033cfe6  HS=0.395ms  Active=68

[11:30:29.752] ✓ CLIENT-69  10.59.57.221:48247  SID=05a3ec75b464b019  HS=0.422ms  Active=69

[11:30:29.752] ✓ CLIENT-70  10.59.57.221:47853  SID=1d65d7651f806c02  HS=0.330ms  Active=70

[11:30:29.799] ✓ CLIENT-71  10.59.57.221:52132  SID=c11d739c23bafafc  HS=0.414ms  Active=71

[11:30:29.799] ✓ CLIENT-72  10.59.57.221:33229  SID=0385ea8351d6be24  HS=0.480ms  Active=72

[11:30:29.799] ✓ CLIENT-73  10.59.57.221:54025  SID=7b417321f4649bcb  HS=0.547ms  Active=73

[11:30:29.841] ✓ CLIENT-74  10.59.57.221:34524  SID=d066d28e30824e73  HS=0.315ms  Active=74

[11:30:29.841] ✓ CLIENT-75  10.59.57.221:58503  SID=927d9cdd228f7ee1  HS=0.380ms  Active=75

[11:30:29.841] ✓ CLIENT-76  10.59.57.221:45864  SID=f4b1b3e360c54a23  HS=0.421ms  Active=76

[11:30:29.842] ✓ CLIENT-77  10.59.57.221:60254  SID=c2751746b7f56124  HS=0.548ms  Active=77

[11:30:29.848] ✓ CLIENT-78  10.59.57.221:45727  SID=664d3fa17dbce393  HS=0.360ms  Active=78

[11:30:29.851] ✓ CLIENT-79  10.59.57.221:45333  SID=c08b2f47539807b5  HS=0.247ms  Active=79

[11:30:29.874] ✓ CLIENT-80  10.59.57.221:36605  SID=98364b414270a6dc  HS=0.432ms  Active=80

[11:30:29.891] ✓ CLIENT-81  10.59.57.221:37565  SID=a58585a5dca1406c  HS=0.392ms  Active=81

[11:30:29.937] ✓ CLIENT-82  10.59.57.221:54353  SID=00f7f81cc6232a89  HS=0.827ms  Active=82

[11:30:29.937] ✓ CLIENT-83  10.59.57.221:51730  SID=23e5771fed6253e3  HS=0.346ms  Active=83

[11:30:29.941] ✓ CLIENT-84  10.59.57.221:42673  SID=d3b5b9d7fc028244  HS=0.318ms  Active=84

[11:30:30.022] ✓ CLIENT-85  10.59.57.221:34843  SID=c46938ac5c0d9ed1  HS=0.645ms  Active=85

[11:30:30.022] ✓ CLIENT-86  10.59.57.221:34892  SID=d8cee2def026a1fe  HS=0.757ms  Active=86

[11:30:30.022] ✓ CLIENT-87  10.59.57.221:43442  SID=8ce3f34519409ff2  HS=0.712ms  Active=87

[11:30:30.045] ✓ CLIENT-88  10.59.57.221:37210  SID=555e4e4477764d9a  HS=1.447ms  Active=88

[11:30:30.115] ✓ CLIENT-89  10.59.57.221:40230  SID=6dd17fac514adebe  HS=0.183ms  Active=89

[11:30:30.115] ✓ CLIENT-90  10.59.57.221:36044  SID=eb6fab8138a099ac  HS=0.424ms  Active=90

[11:30:30.115] ✓ CLIENT-91  10.59.57.221:35426  SID=ad57bed1f4b16124  HS=0.289ms  Active=91

[11:30:30.115] ✓ CLIENT-92  10.59.57.221:57479  SID=b4e577c63c507a6a  HS=0.308ms  Active=92

[11:30:30.115] ✓ CLIENT-93  10.59.57.221:40709  SID=c9b043496c3666e4  HS=0.299ms  Active=93

[11:30:30.115] ✓ CLIENT-94  10.59.57.221:48274  SID=d4e49599b58268a0  HS=0.365ms  Active=94

[11:30:30.117] ✓ CLIENT-95  10.59.57.221:45981  SID=1a6a9445026e6833  HS=1.659ms  Active=95

[11:30:30.203] ✓ CLIENT-96  10.59.57.221:37651  SID=d780d1e0f7c45cb5  HS=0.321ms  Active=96

[11:30:30.203] ✓ CLIENT-97  10.59.57.221:58607  SID=b76e93e8457f6a16  HS=0.360ms  Active=97

[11:30:30.203] ✓ CLIENT-98  10.59.57.221:60208  SID=c2d204b0d6c1ef4e  HS=0.363ms  Active=98

[11:30:30.291] ✓ CLIENT-99  10.59.57.221:40951  SID=41e1cb87c33a0c3b  HS=0.349ms  Active=99

[11:30:30.291] ✓ CLIENT-100  10.59.57.221:34489  SID=40f683509cd9d74d  HS=0.357ms  Active=100

^C
=========================================================================
                  PQC SERVER BENCHMARK REPORT                            
=========================================================================

┌─────────────────────────────────────────────────────────────────────────┐
│ TABLE 12 — Queuing & Processing Latency Breakdown (200    samples)       │
├──────────────────────┬─────────────────────────┬────────────────────────┤
│ Metric               │ Queue Wait Time (µs)    │ Crypto Processing (µs) │
├──────────────────────┼─────────────────────────┼────────────────────────┤
│ Mean                 │                 184.415 │                370.329 │
│ Median               │                  52.684 │                314.656 │
│ Minimum              │                   0.301 │                 71.846 │
│ Maximum              │                1486.725 │               1942.834 │
│ 95th Percentile      │                 788.370 │                727.919 │
│ 99th Percentile      │                1454.365 │               1486.577 │
│ Standard Deviation   │                 275.242 │                227.019 │
└──────────────────────┴─────────────────────────┴────────────────────────┘

┌─────────────────────────────────────────────────────────────────────────┐
│ TABLE 13 — Worker Thread Core Utilization                               │
├──────────────────────┬─────────────────┬─────────────────┬──────────────┤
│ Worker Thread        │ Busy Time (ms)  │ Total Time (ms) │ Util (%)     │
├──────────────────────┼─────────────────┼─────────────────┼──────────────┤
│ Worker 1 (Core 1)    │          23.323 │       10474.480 │        0.22% │
│ Worker 2 (Core 2)    │          25.183 │       10474.480 │        0.24% │
│ Worker 3 (Core 3)    │          25.559 │       10474.480 │        0.24% │
└──────────────────────┴─────────────────┴─────────────────┴──────────────┘

┌─────────────────────────────────────────────────────────────────────────┐
│ TABLE 14 — Server CPU Temperature Profile                               │
├─────────────────────────────────────────┬───────────────────────────────┤
│ Metric                                  │ Value                         │
├─────────────────────────────────────────┼───────────────────────────────┤
│ Average Temperature                     │                      53.8 °C                     │
│ Peak Temperature                        │                      54.0 °C                     │
└─────────────────────────────────────────┴───────────────────────────────┘

┌─────────────────────────────────────────────────────────────────────────┐
